Postcode, Longitude, Latitude
RG21 3HF,-1.087777,51.256193
RH2 0SD,-0.202469,51.239634
ST15 0BF,-2.182162,52.887116
OL8 1XU,-2.118650,53.538654
WA4 6RD,-2.583436,53.379485
WF8 4QR,-1.324789,53.694241
S17 3QU,-1.536701,53.318585
BL6 7BT,-2.541633,53.599692
DY3 2JH,-2.129805,52.525718
NE5 2SZ,-1.698841,54.994321
LE17 4EW,-1.208896,52.460400
SS14 3AY,0.449399,51.581497
E17 6HL,-0.038376,51.587968
CA14 4JW,-3.521500,54.612957
CT1 1YQ,1.099171,51.268949
S66 1JL,-1.273508,53.421931
B79 8AA,-1.693807,52.639802
B8 2AS,-1.821695,52.490032
N17 0XL,-0.057806,51.606276
NG17 1EE,-1.261318,53.123395
SE18 4LD,0.061435,51.473101
B20 2HL,-1.929020,52.514049
IP8 3SU,1.105792,52.045048
BS23 4QU,-2.968688,51.324461
DE13 8AZ,-1.720120,52.764921
GL54 2BD,-1.758319,51.888451
PO14 1NH,-1.199216,50.851085
DY1 4AS,-2.082623,52.514257
WR11 1LP,-1.950009,52.081991
CV35 9BL,-1.555539,52.197131
CV21 1AR,-1.253857,52.381236
CV32 5JE,-1.549577,52.287561
SK17 6RY,-1.917120,53.260938
RH10 1HR,-0.188053,51.113088
PO19 1SB,-0.787766,50.834920
BA21 4DR,-2.637780,50.948522
HU3 2JZ,-0.358146,53.744113
HU3 4AE,-0.373324,53.729806
LE1 7LW,-1.125166,52.625777
BN14 9FD,-0.382203,50.836208
DN34 5BQ,-0.093352,53.553451
WV6 0DU,-2.156804,52.589175
CH63 7LH,-3.007700,53.360557
CH41 4NT,-3.021491,53.393088
CH41 1AG,-3.017560,53.397239
SP1 2LW,-1.787546,51.064561
BA14 0ES,-2.222514,51.308080
SN15 3QD,-2.110726,51.463002
SN15 2NY,-2.112364,51.430551
NW5 1RN,-0.150262,51.558701
HU8 9HD,-0.278441,53.774574
WN7 4JY,-2.531079,53.489454
WN1 2JH,-2.638136,53.555867
WN1 1RR,-2.635085,53.548738
DT4 7LQ,-2.451425,50.622896
BS22 8ND,-2.947182,51.349176
CH41 1AA,-3.022109,53.400723
CT2 8QA,1.062967,51.278633
YO11 3AZ,-0.394603,54.262655
WR1 2JF,-2.222171,52.190053
PE6 7JX,-0.302747,52.637520
ST14 5JX,-1.837431,52.950664
NG34 7PP,-0.414248,52.999218
CO15 3JL,1.141844,51.799348
B36 9HF,-1.764924,52.511491
LS3 1AA,-1.559012,53.800447
LS10 1JY,-1.535196,53.787496
LS2 8BL,-1.546299,53.802261
LN6 0PE,-0.602243,53.221358
WS11 1UE,-2.032041,52.690407
WS13 6QG,-1.829977,52.679684
ST19 5PH,-2.117223,52.702419
B79 8AE,-1.691165,52.639364
M9 4AF,-2.212438,53.514029
PO6 2SA,-1.062222,50.837367
M23 0DD,-2.270694,53.409862
M11 2WH,-2.187628,53.471845
SK11 6QG,-2.128569,53.256556
CW7 3BS,-2.511653,53.198645
WA2 7TT,-2.593348,53.392820
CH1 4EE,-2.893843,53.194484
DE14 1NG,-1.627550,52.807206
HD5 9PG,-1.755586,53.655896
E2 6PR,-0.061721,51.529239
WS3 3LX,-1.998775,52.623575
S1 2BX,-1.465553,53.376984
HA7 4BQ,-0.310489,51.613620
WR5 2LU,-2.186774,52.183974
B60 1PQ,-2.049997,52.337562
B98 8DW,-1.938376,52.307540
M1 3HB,-2.234824,53.476678
TR11 3QS,-5.074229,50.152897
DA12 2JT,0.391768,51.438309
LE10 1QU,-1.373854,52.543314
SR3 4AH,-1.409322,54.892128
BS14 0BD,-2.592405,51.410935
BS1 5UA,-2.605730,51.450934
BA3 4RW,-2.485415,51.270922
BA1 1UP,-2.362652,51.379717
GL7 1XA,-1.986058,51.712690
SE4 2NL,-0.039597,51.467290
SE13 5GE,-0.002705,51.463789
S41 7NG,-1.425048,53.240256
CM2 9DE,0.475565,51.722084
CM2 0JQ,0.466732,51.724995
SK6 7QY,-2.070978,53.390868
SS8 9RZ,0.586168,51.531859
SS1 1BJ,0.711128,51.535233
SR1 3NX,-1.384952,54.903545
WN5 7BG,-2.709037,53.523316
WA10 3RN,-2.751231,53.447715
BD1 4HR,-1.752574,53.795619
PR1 4HD,-2.688869,53.757096
M24 2GL,-2.183311,53.564162
E10 5BS,-0.012066,51.570286
W3 8LQ,-0.289646,51.499980
SE19 2BS,-0.069162,51.417322
EN1 4RQ,-0.057168,51.680381
PE29 1BL,-0.178105,52.338440
CB4 2QT,0.134340,52.235278
HX1 3UZ,-1.874416,53.719527
M43 7EU,-2.127577,53.486548
BL9 0BG,-2.296091,53.587602
DE14 3RL,-1.631174,52.799693
WA9 1JF,-2.733327,53.444096
BB12 0AN,-2.248070,53.793909
TS25 5PF,-1.230283,54.676459
NW10 2XD,-0.243029,51.551716
SR8 2RN,-1.348711,54.764091
SL3 8BY,-0.545036,51.505512
W5 5EW,-0.306835,51.510291
W14 9BL,-0.214029,51.491865
B79 7HL,-1.691434,52.633754
ST17 4AA,-2.116214,52.802687
ST5 1HN,-2.219745,53.012830
ST1 5HQ,-2.178561,53.026958
DH1 1SG,-1.573146,54.780132
LU5 4HG,-0.518838,51.890763
DH8 5EE,-1.835926,54.850056
DE7 5JS,-1.311997,52.971098
DE1 3PA,-1.479429,52.925427
DE24 8JE,-1.459000,52.916014
W2 1NB,-0.174603,51.521032
DE7 6DN,-1.420946,52.957366
CR0 8SD,-0.054776,51.374396
LS19 7UG,-1.663787,53.865131
BD23 1US,-2.036742,53.963392
WA10 6JR,-2.756243,53.465389
CR5 1YA,-0.120724,51.305670
PL25 4DJ,-4.785002,50.346492
PL12 4AE,-4.228093,50.407178
TR7 2LZ,-5.068360,50.410492
EX9 7BY,-3.316708,50.670270
TR15 3RD,-5.275840,50.226842
WV4 5DG,-2.136628,52.561323
RH12 2EJ,-0.324301,51.071001
CO3 3LL,0.888574,51.893517
WV8 1PQ,-2.186986,52.629909
DL1 1DR,-1.541700,54.530122
SR8 2HU,-1.361025,54.755746
LE14 2LJ,-1.007597,52.738134
BR2 8HE,0.034796,51.386660
CA11 0AH,-2.788515,54.671660
YO23 3FR,-1.161491,53.920657
GU34 2LX,-0.975771,51.156172
BB5 2AW,-2.352860,53.748697
OX29 9UU,-1.475285,51.819954
OX28 6NE,-1.487934,51.785444
OX14 1GG,-1.286960,51.680624
SO15 5RL,-1.417311,50.926583
GU14 8JX,-0.756104,51.304907
S5 6SG,-1.453990,53.418460
GU22 9AL,-0.549495,51.308097
RG4 8AA,-0.977022,51.466886
NN8 3JH,-0.713088,52.302089
NG17 8HP,-1.269560,53.110663
BD18 3LA,-1.787715,53.838325
UB2 5HF,-0.386514,51.499625
PL1 3QG,-4.163120,50.369076
BN1 9PW,-0.091234,50.858017
M12 6BA,-2.217356,53.469754
SW12 8EN,-0.149284,51.451150
CB24 6DB,0.164490,52.246607
PE30 2QW,0.410694,52.756352
YO23 2BB,-1.113609,53.929705
NN29 7PH,-0.662636,52.256826
SM4 6JS,-0.189323,51.385275
M1 5JW,-2.243763,53.474934
SW10 0QS,-0.185989,51.482012
W10 5QQ,-0.208419,51.522875
E3 3QP,-0.018013,51.518511
BA12 9DR,-2.163978,51.202342
KT13 8TT,-0.465522,51.362672
TS7 8AR,-1.199613,54.540335
HP7 9HN,-0.589450,51.668961
SO42 7ZE,-1.569931,50.821457
TA1 5AX,-3.118879,51.016061
TA6 4PZ,-2.987131,51.131120
BD7 1AY,-1.768111,53.791677
RG12 1DJ,-0.744655,51.416324
BH14 0LS,-1.961881,50.724709
PE11 1WD,-0.150962,52.787517
PE21 6JF,-0.014959,52.973254
BL3 5BU,-2.435920,53.574842
BL3 5BG,-2.437096,53.574721
FY3 7LR,-3.015881,53.837702
FY2 0HB,-3.026295,53.859387
BB2 1LH,-2.489745,53.748575
LN2 2LG,-0.529737,53.268445
HP21 8PD,-0.822655,51.813857
HU17 8QG,-0.503445,53.848058
B3 1JB,-1.905939,52.481840
TN40 2JG,0.490934,50.847112
SL6 6QR,-0.799839,51.529697
NR1 1DL,1.315558,52.623670
NN15 6ER,-0.711740,52.388412
MK42 9AH,-0.468552,52.133347
RG21 8TN,-1.095958,51.263360
S75 1BP,-1.483680,53.559820
S70 5NQ,-1.472987,53.528502
S70 2YW,-1.482797,53.551618
LU2 7BF,-0.421883,51.906030
EN5 4AZ,-0.200300,51.652379
RM7 0XU,0.174564,51.560330
HP10 9HE,-0.723393,51.606859
DL14 6JZ,-1.696520,54.650520
DA1 2JT,0.204027,51.431954
E8 4DG,-0.076224,51.537852
YO16 7JW,-0.196888,54.091833
MK6 5LP,-0.752148,52.027987
TS2 1AD,-1.226811,54.579944
ME16 8AQ,0.494650,51.270386
ME7 1FN,0.541529,51.393598
SK11 8LF,-2.138236,53.251493
LU2 7EW,-0.414304,51.903716
NR31 0ED,1.721459,52.597497
NR32 2NB,1.743636,52.482373
LE11 3BT,-1.220321,52.767512
CB2 8PX,0.132794,52.178576
W1F 7LN,-0.138790,51.514867
L1 9DW,-2.974188,53.401277
L3 6BN,-2.990013,53.414289
L7 7JA,-2.967630,53.401231
MK3 6DR,-0.737966,51.995639
L1 5BG,-2.979571,53.399894
LN2 5HQ,-0.532657,53.231358
E10 6EQ,-0.002895,51.576066
LE1 3WL,-1.133131,52.641029
LE1 3WA,-1.127936,52.643993
LE2 7LW,-1.133165,52.622482
LS2 7QT,-1.535223,53.802946
LA1 2TY,-2.826276,54.062640
SW4 9BL,-0.141435,51.458706
CA14 4JN,-3.531755,54.606042
DT2 8PY,-2.404574,50.718310
KT1 2AQ,-0.305378,51.406938
SM4 5QX,-0.204957,51.393798
SW18 2PP,-0.190075,51.456148
CV11 4BE,-1.461657,52.522170
NG24 1PB,-0.803910,53.076017
CT2 8QA,1.062967,51.278633
CV21 3SD,-1.238967,52.373940
L12 0HR,-2.890921,53.440083
LE10 3DT,-1.407603,52.535927
LE18 4PH,-1.130244,52.579749
CV11 6BH,-1.449838,52.530296
DN21 2RF,-0.777325,53.404641
DN17 1AJ,-0.666720,53.578566
SG1 1LA,-0.199659,51.896806
SG4 0JD,-0.259165,51.954242
KT17 3DS,-0.244678,51.342566
EX16 6SH,-3.491992,50.912726
EX31 2BQ,-4.069473,51.072452
E15 4GY,0.004416,51.539845
E13 8SG,0.031699,51.520068
ST16 2QR,-2.120352,52.806578
ST5 2GB,-2.237988,53.015303
PR3 0RY,-2.763081,53.853081
SE4 1UT,-0.025937,51.468220
DY10 1AB,-2.248981,52.386127
WN8 6DX,-2.780095,53.552778
NE4 7SA,-1.627186,54.966418
RG14 7TD,-1.322942,51.382452
TF1 2NP,-2.498607,52.697329
SN3 1AH,-1.758301,51.557469
NG5 1AL,-1.154943,52.969787
NG1 6AB,-1.152006,52.950178
NG6 0LG,-1.191124,52.983514
DH1 5ES,-1.594398,54.795913
LE3 6DN,-1.179754,52.642053
BB9 7YT,-2.221148,53.844420
WA4 6SN,-2.602168,53.361468
BB2 2TP,-2.516577,53.740463
CA1 1HS,-2.929138,54.895927
HU17 0GH,-0.421457,53.840733
CT9 1PF,1.383610,51.387053
TN24 8BJ,0.885523,51.145588
BN7 2XH,0.015572,50.870098
BN21 2UF,0.272124,50.788909
TS24 7NT,-1.210669,54.684251
CM20 3EZ,0.098238,51.769320
WA8 5WA,-2.746816,53.389100
WA8 7QQ,-2.734745,53.363962
B63 3NT,-2.045229,52.453529
B63 3NA,-2.051979,52.457161
TN11 0AL,0.328911,51.225228
GU9 8LU,-0.793071,51.208088
GU3 3PE,-0.622042,51.272311
GU1 1EZ,-0.569872,51.246075
NG31 9AP,-0.635340,52.912718
GL14 2YT,-2.510924,51.835252
TN34 1BA,0.578137,50.857944
GL51 7SJ,-2.118190,51.901613
NE8 3BE,-1.598114,54.966557
LA14 2PJ,-3.242096,54.116534
SK13 2DA,-1.970775,53.456511
DN32 7PF,-0.065282,53.569442
DN32 7AJ,-0.074043,53.570744
DN31 1HB,-0.084377,53.565100
DN36 4YB,-0.067637,53.522095
DN32 7AP,-0.073727,53.570379
GU14 6SB,-0.751747,51.285554
EX2 7LB,-3.471881,50.716462
EX4 4JS,-3.538392,50.728223
EX4 3SR,-3.535014,50.726756
SO50 5FS,-1.358838,50.961591
RH1 2JX,-0.162874,51.253587
GL2 5JQ,-2.256534,51.862048
DA11 0RX,0.364895,51.441761
RM3 9ES,0.229917,51.612970
RM13 8GP,0.184609,51.520350
ME14 1LH,0.519996,51.275824
LA9 5AY,-2.747034,54.318001
DN17 1DS,-0.668613,53.574560
SO19 7TB,-1.357172,50.908661
PO30 5TA,-1.296665,50.706435
HU3 4DD,-0.362077,53.732115
HU1 3DG,-0.331867,53.746393
TN10 4PU,0.282319,51.214203
L20 7EW,-2.989404,53.445072
HX3 0BT,-1.861747,53.710989
OL12 6RY,-2.162633,53.616729
M24 6XH,-2.188708,53.569124
EN10 6AE,-0.024867,51.724971
HR2 6LL,-2.654362,52.017525
RM11 2LL,0.221250,51.581596
SY8 1GD,-2.721487,52.367487
SY11 4QB,-3.038071,52.853995
HR1 1LT,-2.697601,52.060873
HP12 3NE,-0.773578,51.618349
RG4 9RH,-0.980401,51.515507
RG1 5AN,-0.959330,51.451022
RG9 1EY,-0.899334,51.530927
RG9 1UH,-0.907967,51.536049
TR13 8NR,-5.273505,50.106927
CV1 3BA,-1.516935,52.408279
CV6 2BT,-1.534969,52.429523
CV22 6NU,-1.289206,52.337176
CV21 2TP,-1.259268,52.373196
CV21 2PS,-1.260303,52.374533
RM11 3TB,0.232704,51.560589
HR1 1LS,-2.697295,52.061747
WD24 4PT,-0.390486,51.667249
B43 6JN,-1.932533,52.548338
B43 6JN,-1.932533,52.548338
CV1 5GT,-1.499951,52.413953
CV1 3GS,-1.521400,52.405960
B43 6JN,-1.932533,52.548338
B43 6JN,-1.932533,52.548338
B43 6JN,-1.932533,52.548338
CV1 5GT,-1.499951,52.413953
B43 6JN,-1.932533,52.548338
B9 4AR,-1.882565,52.476637
GU34 2LX,-0.975771,51.156172
B20 3HQ,-1.891891,52.512016
B91 3PU,-1.798281,52.402333
AB35 5YJ,-3.488778,56.991655
B43 6JN,-1.932533,52.548338
B20 3HQ,-1.891891,52.512016
LE4 8NN,-1.090548,52.672318
WS10 7RR,-2.041394,52.562563
GU34 2LX,-0.975771,51.156172
PO16 7GZ,-1.177887,50.860371
CV6 2HJ,-1.522333,52.437113
SE4 1UT,-0.025937,51.468220
B20 3SD,-1.916791,52.513331
B43 6JN,-1.932533,52.548338
PO16 7GZ,-1.177887,50.860371
PO16 7GZ,-1.177887,50.860371
B43 6JN,-1.932533,52.548338
OX14 1GG,-1.286960,51.680624
CV1 1DD,-1.511860,52.407753
CV1 1DD,-1.511860,52.407753
CV1 1FE,-1.508911,52.409370
CV1 2FL,-1.512459,52.401409
CV1 2FL,-1.512459,52.401409
PO16 7GZ,-1.177887,50.860371
GU34 2LX,-0.975771,51.156172
B43 6JN,-1.932533,52.548338
TN11 0AL,0.328911,51.225228
